Dates,DayOfWeek,PdDistrict,Address,X,Y
01.01.2015,Thursday,CENTRAL,STOCKTON ST / FRANCISCO ST,-122.4101272,37.80509849
01.01.2015,Thursday,TENDERLOIN,OFARRELL ST / LARKIN ST,-122.417904,37.78516709
01.01.2015,Thursday,MISSION,500 Block of DOLORES ST,-122.4258422,37.76062201
01.01.2015,Thursday,TARAVAL,0 Block of CRESTLAKE DR,-122.4819662,37.73537471
01.01.2015,Thursday,TARAVAL,0 Block of CRESTLAKE DR,-122.4819662,37.73537471
01.01.2015,Thursday,TARAVAL,0 Block of CRESTLAKE DR,-122.4819662,37.73537471
01.01.2015,Thursday,TARAVAL,0 Block of CRESTLAKE DR,-122.4819662,37.73537471
01.01.2015,Thursday,MISSION,2700 Block of 22ND ST,-122.4099084,37.75602488
01.01.2015,Thursday,MISSION,2700 Block of 22ND ST,-122.4099084,37.75602488
01.01.2015,Thursday,TENDERLOIN,HYDE ST / GEARY ST,-122.4164521,37.78630869
01.01.2015,Thursday,MISSION,2700 Block of 22ND ST,-122.4099084,37.75602488
01.01.2015,Thursday,MISSION,2700 Block of 22ND ST,-122.4099084,37.75602488
01.01.2015,Thursday,INGLESIDE,100 Block of 29TH ST,-122.4235383,37.74383447
01.01.2015,Thursday,INGLESIDE,100 Block of 29TH ST,-122.4235383,37.74383447
01.01.2015,Thursday,NORTHERN,100 Block of LARKIN ST,-122.4166077,37.77913875
01.01.2015,Thursday,PARK,900 Block of BAKER ST,-122.4418325,37.77955036
01.01.2015,Thursday,NORTHERN,500 Block of HAIGHT ST,-122.4312681,37.77194651
01.01.2015,Thursday,MISSION,600 Block of ALABAMA ST,-122.4120562,37.76098991
01.01.2015,Thursday,TENDERLOIN,300 Block of OFARRELL ST,-122.4105093,37.78604322
01.01.2015,Thursday,TENDERLOIN,300 Block of OFARRELL ST,-122.4105093,37.78604322
01.01.2015,Thursday,TENDERLOIN,300 Block of OFARRELL ST,-122.4105093,37.78604322
01.01.2015,Thursday,TENDERLOIN,0 Block of POWELL ST,-122.4078454,37.78509432
01.01.2015,Thursday,TARAVAL,100 Block of GARFIELD ST,-122.4640194,37.71980951
01.01.2015,Thursday,SOUTHERN,1200 Block of MISSION ST,-122.4144578,37.77650804
01.01.2015,Thursday,SOUTHERN,1200 Block of MISSION ST,-122.4144578,37.77650804
01.01.2015,Thursday,MISSION,3600 Block of 20TH ST,-122.4224066,37.75848502
01.01.2015,Thursday,TENDERLOIN,200 Block of MCALLISTER ST,-122.4157546,37.78071918
01.01.2015,Thursday,MISSION,2700 Block of MISSION ST,-122.4185872,37.75301865
01.01.2015,Thursday,SOUTHERN,1100 Block of MARKET ST,-122.4123209,37.78076423
01.01.2015,Thursday,SOUTHERN,1100 Block of MARKET ST,-122.4123209,37.78076423
01.01.2015,Thursday,SOUTHERN,1100 Block of MARKET ST,-122.4123209,37.78076423
01.01.2015,Thursday,SOUTHERN,1100 Block of MARKET ST,-122.4123209,37.78076423
01.01.2015,Thursday,SOUTHERN,1100 Block of MARKET ST,-122.4123209,37.78076423
01.01.2015,Thursday,NORTHERN,2300 Block of CHESTNUT ST,-122.4420387,37.80013628
01.01.2015,Thursday,TENDERLOIN,100 Block of EDDY ST,-122.4101571,37.78429738
01.01.2015,Thursday,RICHMOND,1000 Block of POINTLOBOS AV,-122.5136421,37.77846922
01.01.2015,Thursday,MISSION,400 Block of ALVARADO ST,-122.4310188,37.75394358
01.01.2015,Thursday,INGLESIDE,5600 Block of MISSION ST,-122.4470953,37.71112255
01.01.2015,Thursday,BAYVIEW,QUINT ST / CARROLL AV,-122.4027012,37.73026636
01.01.2015,Thursday,BAYVIEW,MISSOURI ST / WATCHMAN WY,-122.3957634,37.75562237
01.01.2015,Thursday,CENTRAL,2300 Block of STOCKTON ST,-122.4105247,37.80744512
01.01.2015,Thursday,SOUTHERN,7TH ST / MISSION ST,-122.4109392,37.77921226
01.01.2015,Thursday,PARK,PAGE ST / DIVISADERO ST,-122.4372356,37.77220419
01.01.2015,Thursday,TENDERLOIN,OFARRELL ST / JONES ST,-122.4129705,37.78578838
01.01.2015,Thursday,INGLESIDE,400 Block of EDINBURGH ST,-122.4313713,37.72196757
01.01.2015,Thursday,CENTRAL,STOCKTON ST / POST ST,-122.4067754,37.78849829
01.01.2015,Thursday,SOUTHERN,800 Block of MARKET ST,-122.4076335,37.78418935
01.01.2015,Thursday,SOUTHERN,800 Block of MARKET ST,-122.4076335,37.78418935
01.01.2015,Thursday,SOUTHERN,800 Block of MARKET ST,-122.4076335,37.78418935
01.01.2015,Thursday,MISSION,16TH ST / JULIAN AV,-122.4209017,37.76497789
01.01.2015,Thursday,MISSION,16TH ST / JULIAN AV,-122.4209017,37.76497789
01.01.2015,Thursday,MISSION,16TH ST / JULIAN AV,-122.4209017,37.76497789
01.01.2015,Thursday,MISSION,2300 Block of 16TH ST,-122.4095299,37.76571844
